    AspectRatio      MADX       MADY         AvgU         MADU         AvgV        MADV        CorrXY         CorrXP         CorrXU        CorrXV         CorrYP         CorrYU         CorrYV         CorrPU         CorrPV         CorrUV      NumXMin    NumXMax    NumYMin    NumYMax    NumUMin    NumUMax    NumVMin    NumVMax    Character
       2.2833       0.26233    0.45723       0.71407     0.91321       -1.6967     3.9375       -0.45818        0.55267        0.1663       -0.41389       -0.48692        0.76745        0.14144        -0.1638      -0.019176      0.003178       0          0          1          1          2          2          2          1           N    
       1.2933        0.1865     0.3107      -0.10178       1.858       0.20203     2.5619       0.077709        0.30515       0.16854        0.94249       -0.24269       -0.88038         0.2036      0.0011659        0.30366       0.11502       1          1          1          1          2          1          1          2           O    
       3.7333         0.125    0.48152       0.02344      1.1396      -0.83787     4.8819        0.43809        0.29701      0.046677       -0.33146       -0.33501        0.48626       0.037724       -0.10137        0.23369        0.2601       1          1          1          1          4          4          2          1           P    
       1.6762       0.25635    0.38473       0.74057     0.80338       0.42532     2.4803        0.08837        0.59583      -0.39392         0.9743       -0.43379       -0.96335        0.37303       0.045743        0.47153      -0.39472       0          1          1          0          1          1          1          1           U    
       2.4516       0.18551    0.50583       0.76695     0.41152       0.45945     3.5352        0.11003        0.57114      -0.30789        0.68793       -0.40318       -0.17834        0.30775      -0.032406        0.46601      -0.29574       0          0          1          0          2          3          1          1           V    
       1.2982       0.24311    0.31483       0.93345     0.32574      -0.19461      4.092       0.081496        0.51294       0.19913        0.58375       -0.46508       -0.60044        0.27226        0.42237        0.35782      -0.15421       0          0          2          1          2          3          2          2           W    
       1.4014       0.19771    0.23285        1.8089      5.4858       -2.8155     4.8456       -0.14008        0.28918       0.46071       0.082106       -0.13896       0.084969       0.078419        0.33699       -0.26803       0.63269       2          3          1          2          3          3          2          1           Z    
       1.0606       0.24736    0.32404       0.72226      1.2357       -1.2047     3.6862       -0.33895        0.42146       0.46615        0.40145       -0.37438        -0.7044        0.24471        0.44097       -0.20068       0.32886       1          0          2          2          2          2          2          1           A    
       1.2252       0.18313    0.36766        0.5156      1.3627       -1.0002     3.2142       -0.21014      -0.072486       0.55829        0.39501        -0.3007       -0.73873        0.34271        0.14629        -0.2817       0.32955       1          0          2          2          2          2          2          1           A    
       2.0714       0.18949    0.38215       0.25573      1.3486       -1.4297     3.0829        -0.4049        0.60907      0.041218       -0.15642       -0.62576        0.58658       -0.16859       -0.16001        0.34626      0.068907       0          1          2          1          2          2          2          1           B    
       2.6087       0.17582    0.48237       0.19215      1.0682       -2.2221      3.431       -0.48937        0.62822      0.043352        0.16465       -0.63427        0.44473       -0.28863       -0.13965       0.065144      0.081575       0          1          2          1          3          3          2          1           B    
       1.2963       0.23517    0.41851      -0.23118      2.0118      -0.85426      1.642      -0.029211       -0.37037       0.19717        0.89292       -0.30488        -0.8118        0.02266         0.4412        -0.1666       0.29028       1          1          1          1          1          1          1          1           C    
       2.9487       0.14041    0.39421       0.20352      1.1865      -0.27943     4.0912        0.56942      -0.092442       0.20921        0.40701        0.27743       -0.49014         0.2155       0.020194       -0.34262        0.2735       2          1          1          2          2          1          2          1           D    
       1.6042       0.20443    0.30321       0.65602      1.6761      -0.18414     2.6011       -0.07181       0.056172       0.33448        0.76301      -0.074178       -0.73038        0.18578        0.21789       -0.40974       0.39249       1          1          1          1          1          2          1          2           E    
       1.6344       0.19809    0.34046       0.48311      1.5181      -0.23152     2.3592       -0.20983       -0.15204       0.34308        0.71057        0.11982       -0.76403        0.22898        0.15592       -0.45917       0.16761       1          1          1          1          1          2          1          2           E    
       2.4103       0.13441     0.3925       0.59735       1.631       -1.9726     2.7077         0.3834       0.042224       0.70157       0.072634       -0.41727        0.34679       0.019931       -0.41007       -0.77178       0.42485       2          0          1          0          1          2          2          2           F    
       1.2848       0.18739    0.28516       0.56306      1.8995      -0.81278     2.6767       0.086405       0.036283       0.33241       0.059051       -0.64993        0.14287      -0.059606        0.23534        0.23066       0.47464       2          1          2          2          3          3          2          2           G    
       1.3704       0.14533    0.29117       0.60053      1.7193      -0.42917     2.5059       0.069733       -0.18884       0.43364      -0.026568       -0.61251       0.052294        0.04151      -0.059817       -0.17682       0.45131       2          2          2          2          3          3          2          3           G    
       2.4167       0.16706    0.46205       0.65773     0.45003       -1.5655     3.2878       -0.60981        0.41211       0.62896     -0.0093583       -0.60784         0.1025      -0.035796        0.17103        0.13752       0.19425       0          0          2          1          2          2          2          1           H    
       2.1143       0.17304    0.42804       0.73965      0.5766       -1.3922     3.3149          -0.52      -0.056402       0.77369       0.097871       -0.49519       0.044623      -0.089177       -0.37369       0.080638       0.31443       0          0          2          1          2          2          2          1           H    
       8.8148       0.10253    0.95899       0.38956     0.42037        -1.903     1.8505       -0.91324        0.50889      0.082125       -0.74297        -0.4321      -0.087932        0.74281        0.23149       -0.58401      -0.65464       0          1          1          1          1          1          1          1           I    
       4.1795       0.12414    0.61926      -0.61137      1.3023       -2.1038      3.945        0.71508       -0.29128       0.43646       -0.71994       -0.65054        0.53059       0.023321       -0.45356       -0.26338      -0.17811       1          0          1          0          3          3          1          1           J    
       4.6944       0.10354     0.7187      -0.58344      1.0501        -3.071     5.0275        0.62512        -0.1339       0.60076       -0.62669       -0.62597        0.62113     -0.0037892       -0.44089       -0.45257      -0.31458       1          0          1          0          2          2          1          1           J    
       2.4828       0.22217     0.4311       0.16479      1.5686       -3.5665     2.2248       -0.26885       -0.12644       0.34543         0.5564       -0.26632       -0.32287       0.045716        0.22869       -0.37038         0.205       1          1          1          1          2          3          3          2           K    
       1.9804       0.17789    0.42661       0.69163     0.85917      0.021465     2.8407        0.12495        0.18193       0.26938        0.11604        0.53234       -0.63019        0.15103       0.094447     0.00067043       0.31845       1          1          0          1          1          2          1          1           L    
       2.2157       0.16326    0.43994       0.96112      1.0659      -0.14406     3.0391        0.33709        0.25104      -0.15376        0.13255        0.51967       -0.76298         0.1833        -0.3308        0.10887       0.21689       1          1          1          1          2          2          1          1           L    
       1.1481       0.24559    0.29926        0.9196     0.81991       -1.0555     3.6356       -0.35119        0.60984       0.34457      -0.077716       -0.29437        0.79909        0.40595         0.2241         0.1264       0.62976       0          0          2          3          3          2          3          2           M    
       1.0167       0.26891    0.25881        1.1097      1.0122      -0.58775     3.3718       -0.24437        0.39217       0.11055       -0.16075       -0.23965        0.86747         0.5259       -0.29761       -0.12156       0.75149       0          0          2          3          2          2          3          2           M    
       2.3095       0.20579    0.46745       0.75422     0.42427       -1.8253     3.7198       -0.52669        0.41179       0.32923      -0.078202       -0.47268        0.38196        0.11184        0.21235        0.14248       0.44477       0          0          1          1          3          4          2          1           N    
        1.899       0.17827    0.42064       0.71856     0.30012        -1.861     3.4199       -0.69611        0.36159       0.43423     -0.0097431       -0.36888        0.23466        0.03237       -0.14957        0.12485     -0.088416       0          0          1          2          3          3          2          1           N    
        1.549       0.21552    0.37019      0.019316      1.5015      -0.60696     2.9299       0.078014        0.44953       0.14829        0.92546       -0.43497       -0.83284        0.11406        0.20729         0.2851       0.25087       1          1          1          1          2          1          1          1           O    
       3.2043       0.11535    0.48077       0.65325      1.1595       -2.4872      3.397       -0.30475        0.29967        0.2422       -0.63617       -0.30912        0.33147        0.42497       0.038993       -0.78715      0.031913       1          2          1          1          1          2          3          2           P    
       3.7143       0.11054    0.40166       0.44894      1.2984       -2.8063     3.1335         0.2603        0.47237      0.010198       -0.23125       0.065541        0.47089        0.66665       0.014952       -0.59839       0.55272       1          1          1          1          2          2          3          2           P    
       1.7727       0.15691    0.37341       0.38771       1.027      0.015142     3.0032      -0.026551        0.23834       0.63814        0.51632       -0.64606       -0.23903        0.25883         0.6532        0.06972       0.44862       1          0          2          2          2          2          2          2           Q    
       2.2941       0.15164    0.40863       0.59371      0.8078      -0.13523      3.186        0.11478       0.061832       0.57034        0.53782       -0.65453        0.10609        0.23265        0.28797        0.11689       0.80784       1          0          1          1          1          2          2          2           Q    
       1.4017       0.25317    0.33943       0.90892      1.5152       0.20686     2.4905        0.45811        0.26162       0.22896     -0.0076213       -0.41699        0.60743        0.20562        0.19271         0.4595       0.60121       1          1          1          1          1          2          1          1           R    
       1.5484       0.23423    0.43329      -0.75263      1.8772      -0.79148     1.6124        0.36624       -0.15608       0.34863      -0.067057       -0.35954       0.081618        0.21648       -0.32747       -0.51503      -0.37722       1          1          1          1          2          1          1          1           S    
       1.8095       0.19143    0.34028        1.3408      2.0431       -1.5275     2.9733       0.019885       0.019614        0.1885        0.43838       -0.70572      -0.086701        0.10363       -0.17317       -0.54055       0.61377       2          1          1          0          2          2          1          1           T    
       1.8947       0.18817    0.31155        1.7105      2.1134       -1.6444     3.4889       -0.08487      -0.027643        0.4662        0.66932        -0.6231       -0.32537       0.097574       -0.26272       -0.58241       0.71992       2          1          1          0          2          2          2          2           T    
        1.085       0.26354    0.33702       0.97117     0.93735      -0.69321     3.2859       -0.47607        0.46569        0.2833        0.41283       -0.49918       -0.88075        0.22147        0.45409        -0.1542     -0.042927       0          0          2          1          1          2          2          2           U    
        1.303       0.25243    0.36602        0.9578     0.86102       -1.0099     3.3038       -0.47223        0.23614       0.15667        0.33477       -0.20177       -0.94581        0.16117        0.11327       -0.38201      -0.32877       0          0          1          1          1          2          2          1           U    
       1.4857       0.28664    0.34103        0.8428     0.88157       0.23596     2.7763       0.057953        0.43917     -0.028932        0.60963       -0.48476        -0.8491         0.4565        0.38459      -0.049335      -0.29037       0          0          2          2          3          3          3          3           W    
       1.3659       0.27209    0.28513       0.72365     0.87762       0.42322     2.6062        0.15467        0.41978     -0.086309         0.6555       -0.51918       -0.89004        0.33591        0.41608        0.12803     0.0064592       0          1          2          1          1          2          2          2           W    
       1.4063       0.20611     0.2584        0.2007      2.4353       -2.4828     2.7521        0.36731      -0.069472       0.14897       0.087712        -0.2878        0.35177        0.55009       -0.59188       -0.65987       0.73421       2          2          1          2          3          4          3          3           X    
       1.2296       0.20173    0.33185       0.20816      2.1264       -2.7647     1.6475       0.090809       -0.10587       0.49925        0.15525       -0.34972        0.10482         0.2091       -0.44942       -0.86822       0.72941       2          2          1          2          2          2          2          1           X    
          2.3       0.16206      0.399       0.23881      1.6748      -0.74952     2.9426        0.32727      -0.010731       0.32342       -0.36965       -0.74079        0.51451       0.056734       -0.38447       -0.16337       0.48758       1          2          2          1          2          3          3          2           Y    
       2.5333       0.18381    0.50278       0.39811      1.4779         -1.29     3.1757       -0.15219        0.41087       0.16217       -0.30764       -0.55058        0.40471       -0.10925       -0.46812       -0.22576       0.18448       1          1          2          1          2          2          2          2           Y    
       1.1631       0.26633    0.42364       0.88676      2.5464       -1.0997     1.7254        0.14827       0.030667       0.29228        0.17869       -0.75915         0.2118        0.22121       -0.42095       -0.37823       0.87365       1          1          1          1          2          3          2          1           Z    
       1.6481       0.21186    0.35029        0.6433      1.4587       -1.4112     3.3472       -0.27097         0.7225     0.0096222        0.47819       -0.26923       -0.58583        0.16306        0.20953        0.32598       0.17595       3          1          1          2          4          4          4          3           A    
       1.8919       0.17346    0.39527       0.25253      1.4041       -1.6813     3.1321       -0.24838        0.52962     0.0054366       -0.25575       -0.70511         0.4574       -0.12722       0.075972        0.33872       0.32366       0          1          2          1          4          4          4          3           B    
       1.6774       0.22608    0.48472        0.3166      1.5735       -1.5229     1.2874       -0.26271     -0.0027374       0.29524        0.93666       -0.80968       -0.87254       0.013921        0.78705      -0.072738       0.11426       1          0          0          0          1          1          2          2           C    
       2.8889       0.11262    0.42625      0.045079      1.4223      -0.89366     4.2155        0.20156       0.091085       0.06802        0.44441        0.11547       -0.42324        0.17336        0.70656        0.14385       0.10354       3          1          1          2          7          7          5          4           D    
       2.0444       0.14431    0.29926       0.82135      1.8159       -1.5029     3.1448        0.34253       0.090778      -0.64162       0.098662       -0.21681       -0.43938        0.23215        0.31264        -0.6055       0.13574       1          0          1          1          2          2          4          4           F    
       1.3333       0.30269    0.31957        1.1413     0.93408       -1.8555      3.287        -0.4565        0.28476        0.2099      -0.015108       -0.48216        0.56214       -0.16225        0.26549        0.48372       0.29192       0          0          1          1          5          4          2          1           H    
       5.1282       0.15366    0.63571        -1.152      1.1751        -2.832     5.2774        0.58283       -0.44878       0.25994       -0.87567       -0.82235        0.75253       -0.30987       -0.61394        0.42324      -0.17032       1          0          1          0          4          4          2          2           J    
       7.6667       0.12333    0.96808      0.054977      0.7238       -3.3319     2.1325       -0.70975        0.64879       0.15063       0.086944       -0.71997        0.29382       -0.36594       0.091319         -0.199        -0.818       0          1          0          0          2          2          4          3           L    
       1.1701       0.26979    0.29055       0.88341      1.3013       -1.0028      4.458      -0.064406        0.38156       0.15727       -0.29909      -0.036792         0.8142        0.26825        0.42005        0.28151       0.66473       1          1          2          2          3          2          3          2           M    
       2.0721       0.13381    0.49995       0.44801      1.1952       -1.5159     2.7811       -0.62023        0.23216        0.2475        0.37778       -0.40967       -0.41225       -0.03523        0.70274         0.1342       0.47056       1          0          2          1          4          4          3          2           Q    
       2.1818       0.22429    0.44679         0.748     0.80585      -0.19462     3.7223        0.55865        0.24931       0.39241       0.088424       -0.33672        0.65542        0.06625        0.29355        0.49513       0.38302       0          0          1          1          2          2          2          1           R    
       2.2667       0.19451    0.54455      -0.63803      1.9767       -1.1756     2.0126       -0.12073       -0.32752        0.2466       -0.18374       -0.37906      -0.088136        0.13615      -0.028371       -0.43427       -0.6508       1          1          1          1          3          2          2          2           S    
       2.3125       0.10579    0.35062       0.99845      1.6004       -2.6819     2.5403        0.20673        0.13517       0.22547        0.22668       -0.44919       0.082542       -0.20891       -0.45211       -0.53355       0.71733       1          0          1          0          3          3          1          0           T    
       1.7111       0.25869    0.43833         1.434      1.1107      -0.28194     3.4206       -0.15864         0.6099      -0.45924        0.76585       -0.57189       -0.07089       0.071481      -0.029674        0.29329      -0.60837       0          0          1          0          5          5          1          1           V    
      0.98611       0.31032    0.27963        1.2372     0.77844     -0.016239     3.8512        0.15913        0.54453      -0.36239        0.38883       -0.35092        -0.6922        0.20086       0.010639        0.25415       0.17526       0          0          2          1          4          4          3          2           W    
       1.6364       0.21701    0.41286        1.9853      1.2331      -0.20685     3.6433       -0.24026        0.41203      -0.21624      -0.091376      -0.042003       -0.15685         0.1239      -0.041667       0.060709      -0.78332       1          1          1          0          5          6          2          2           X    
       1.1579       0.25632    0.42105       0.90302      2.6956       -1.0168     1.8112        0.11106      0.0015184        0.2667        0.65241       -0.24558       -0.18906       0.055159       0.051367       -0.11972       0.81836       1          1          1          1          1          2          2          2           Z    
       1.2903       0.15905     0.3298       0.45049      1.1881      -0.55332     3.1613       0.085353        0.14237       0.55892        0.40524       -0.48473       -0.68982        0.24838        0.61787       -0.16033       0.26325       1          0          2          2          2          2          2          2           A    
       2.3939       0.19101    0.42307       0.14559      1.2125       -1.5004     2.4614        -0.5613        0.66147      0.066138       0.070223       -0.75861        0.29287       -0.13512       -0.30309        0.04461     -0.098054       0          1          2          1          2          2          2          1           B    
          2.8       0.17182     0.4581       0.15961      1.0898        -1.773     2.5739       -0.54419        0.61749      0.049397        0.11166       -0.73998        0.38413       -0.32584       -0.47766        0.38023     -0.034996       0          1          2          1          3          3          2          1           B    
       1.8095       0.24081    0.47264      -0.33912      1.5887       -1.6986     2.1977         0.6053       -0.90648       0.35271        0.69339        -0.5896       -0.57983        0.06038       -0.22113       -0.55866       0.72053       1          0          1          1          1          1          2          2           C    
       2.7018        0.1601    0.35159       0.15529      1.1281      -0.52401     3.7801        0.53638       -0.21153       0.33631       0.088308        0.10347      -0.007296        0.38115        0.27317       -0.32349       0.48827       1          0          1          2          2          1          1          1           D    
       1.6444       0.14703    0.29484       0.28532      1.2665       -0.4051     3.1624        0.41554        -0.1094       0.42674        0.25017       0.013365       -0.26303        0.33353        0.40351       -0.19004       0.43852       1          0          2          1          2          1          2          1           D    
       2.0952       0.19019    0.36736       0.44818      1.7337      0.034218     3.1565        0.35502        -0.2356       0.30337        0.84577        0.21538       -0.63382        0.38449       -0.25775       -0.40728       0.38722       1          1          1          1          1          1          1          1           E    
       2.9383       0.16191    0.47445      -0.18411      1.3521       -2.2312     3.0042        0.66032       -0.17815       0.21081       -0.36602       -0.50575        0.22544       0.022131       0.017167       -0.52761       0.10734       1          0          1          0          1          1          1          1           F    
       2.7356       0.13772    0.46394      -0.26968      1.0729       -1.8212     2.6936        0.74468       -0.11552       0.46463        0.21432       -0.40255        0.19399        0.34564        0.13301       -0.73185       0.20971       1          0          1          1          2          2          2          1           F    
       2.0476       0.13727    0.43188      -0.31906      1.7066       -1.0615     2.8406        0.45741       -0.58953       0.39979       -0.25472       -0.70371        0.10672        0.10983       -0.14905       -0.16588       0.35286       2          2          2          2          3          2          2          2           G    
       2.4722       0.13187    0.44305        0.0314      1.7276      -0.99206     3.0364        0.34416       -0.45086       0.41339       -0.16591       -0.55638         0.1161        0.19296       -0.07705       -0.13417        0.3844       2          1          2          2          3          2          2          2           G    
       2.1333       0.17253    0.45875       0.68724     0.47002       -1.3142     2.6897       -0.71429        0.11783        0.9475        0.12015       -0.53826       -0.66871       0.037821        0.42152       -0.21561      -0.01126       0          0          2          2          1          1          2          1           H    
       2.0381       0.18275    0.41278       0.65064      0.4121       -1.0011     2.6385       -0.83365         0.4299       0.72435     -0.0052717       -0.61031       -0.65551        0.22417        0.70265       -0.45741      -0.56301       0          0          2          2          2          3          3          2           H    
       20.889      0.068467     1.3325     -0.077438     0.53634       -2.4438     3.8098       -0.84264      -0.014699       0.61301       -0.83107       -0.12547       -0.34949        0.74017        0.21817       -0.15812      -0.63773       1          1          1          2          1          1          1          1           I    
            7      0.077158    0.74266       0.53357     0.59031       -2.8989     4.2261       -0.53933      0.0090808       0.79797       0.092282       -0.45729       -0.85273        0.35455        0.62046       -0.84912       -0.3402       0          1          1          1          1          2          1          2           I    
       2.5111       0.19994    0.51489      -0.95606      0.8575       -1.7779      3.745        0.63053       -0.28002        0.4393       -0.59017       -0.56242        0.41071       -0.05298       -0.25455       -0.12866       -0.7533       1          0          1          0          2          3          2          2           J    
          8.8      0.096182    0.96712        0.1745      1.4214       -3.6141     3.9748       -0.12867        0.58957       0.18625        -0.6203       -0.63891        0.33651      -0.073655        0.10234       -0.53182       -0.8638       1          2          1          0          2          1          1          1           J    
        1.977        0.1752    0.40118       0.52287      1.4741       -3.4653     2.2457       -0.50947       -0.14325       0.73805        0.48612       -0.35162       -0.52824       0.088977        0.06509       -0.44024        0.2527       1          1          1          1          2          2          3          2           K    
       2.5833       0.16384    0.39491        0.3175      1.0641       -4.2032     3.6383       -0.13311        0.17027       0.53321        0.58989       -0.38822       -0.34177        0.13811        0.46103       -0.46914       0.22834       1          1          1          1          1          2          3          3           K    
       2.5797       0.13199    0.67146        1.2362      1.2685      -0.28657     2.0928       -0.20865       -0.64721       0.55624        0.63119       -0.44971       -0.42098        0.27023       -0.28835       -0.67004       0.62966       1          0          1          1          1          1          2          2           L    
       0.8642        0.2635    0.20349        1.0492     0.74077      -0.74089     2.3855       -0.58127        0.29209       0.51789       -0.23908     -0.0061332      -0.012975        0.50848       -0.32039       -0.27393       0.49611       0          0          2          3          3          3          3          3           M    
       1.1282       0.20814    0.25508       0.89643     0.47041       -1.3726     3.4654       -0.38028         0.2379       0.64979      -0.047493       -0.25669      -0.015548        0.20664       0.077821       -0.40961       0.45478       0          0          3          3          3          3          3          2           M    
       1.5402       0.18104    0.32633       0.93314     0.53112       -1.1142      3.168       -0.78666         0.3813       0.48356       -0.40205       -0.20839       0.033163        0.32952        0.19783       -0.42845      -0.41938       0          0          2          2          2          3          2          2           N    
       1.3535       0.19881    0.32545         1.064      0.6876       -1.6295     3.7415       -0.76762        0.27653       0.38419      -0.016344       -0.23546       -0.19598       0.095595        0.21446       -0.39922      -0.70997       0          0          2          2          1          2          2          1           N    
       2.1176       0.17757    0.45056      -0.93901      2.3942      -0.92197     3.8015       0.033476        0.24357       0.41504        0.98075       -0.54893       -0.68461       0.012337         0.3427        0.40621       0.49717       1          1          1          1          3          2          1          1           O    
       3.9487        0.1428    0.51258      0.089276      1.1332      -0.88986     4.6866        0.22728        0.57753      0.083553      -0.073195       -0.35891        0.28828       0.086241       -0.34885        0.30699        0.1118       0          1          1          1          2          2          2          1           P    
       3.3725        0.1494    0.45911       0.22534      1.1049       -1.2035     3.7823        0.03711        0.43341       0.22925      -0.019656       -0.56343        0.26671        0.15083      -0.081999        0.19855       0.10307       0          1          1          1          1          2          2          1           P    
       1.4815       0.17971    0.36668       0.18495      1.4712       -1.0615     3.1295      -0.018934       -0.49334       0.39425        0.33958       -0.15947       -0.49085        0.30703       0.085689       -0.30906       0.51191       1          0          2          2          2          2          2          1           Q    
       1.4133       0.19191    0.39274      -0.82275      1.4099       -1.2752    0.81124        0.53824       -0.45245       0.40117       -0.45405       -0.83646        0.17217       -0.07846       -0.20576        0.20864      -0.42357       1          1          1          0          2          1          2          1           S    
       1.5942       0.18507    0.41759      -0.95599      1.6484       -1.2269     1.2236        0.33204       -0.20489       0.42437       -0.31692        -0.7025         0.1291      -0.018197       -0.31968        -0.0676      -0.13513       1          1          1          1          2          1          2          1           S    
