AspectRatio    Duration    Character
        2.439       0.553          Q    
       2.3571       0.548          W    
      0.98182       0.586          A    
       1.5405       0.244          C    
        3.619       0.463          G    
         19.2       0.404          I    
       2.7222       0.309          O    
            2       0.334          C    
       2.2083       0.412          E    
         44.5       0.459          I    
       1.1111       0.663          M    
       1.1538       0.667          M    
        5.381       0.452          G    
       1.5484       0.518          M    
       2.2857       0.768          A    
       7.8182       0.374          I    
       10.429       0.318          I    
          2.5       0.307          S    
       1.6762        0.93          A    
         1.25       0.393          E    
       1.8028        0.51          O    
       2.6709       0.763          Y    
        2.087       0.563          A    
       6.8571         0.7          I    
       1.4512       0.498          U    
            2       0.534          W    
       4.1915       0.505          Q    
       3.0976       0.345          S    
       2.2206       0.715          G    
       2.1707       0.567          W    
        1.475       0.557          A    
        2.069        0.52          K    
       1.8929       0.423          U    
       1.8649       0.466          A    
       4.1111       0.519          Q    
       1.9535       0.462          W    
       2.3958       0.421          E    
       3.1154       0.788          K    
       3.4444       0.468          I    
       3.5357       0.598          Q    
       1.9355       0.527          W    
       4.1364       0.409          Y    
       2.5094       0.899          I    
       4.2326       0.477          K    
       5.3125       0.638          Q    
       1.2558       0.297          E    
       1.4242       0.411          M    
         3.45       0.255          O    
       1.5385       0.346          S    
         1.72       0.322          S    
          1.5       0.396          W    
       5.6842       0.289          Y    
       1.6667       0.379          C    
       1.7241       0.448          E    
       4.4375       0.431          Y    
       5.7778       0.483          I    
       4.6957       0.653          G    
       2.2727       0.508          K    
       2.4211       0.352          O    
       2.5714       0.371          S    
       1.9241       0.509          W    
       2.3924       0.519          Y    
       2.1765       0.333          C    
       2.2414       0.279          C    
       1.0545        0.56          M    
       3.1111        0.44          S    
         1.25       0.513          W    
        3.913       0.522          K    
       1.9231       0.589          W    
       2.0345       0.282          C    
         2.05        0.22          C    
       3.2069       0.482          G    
        1.122       0.564          K    
       2.8421       0.268          O    
          2.8       0.246          C    
       2.2917       0.631          K    
       3.5238       0.383          Q    
       1.0769       0.419          U    
       1.6389       0.424          W    
       2.5833        0.53          Y    
       2.9024       0.601          Q    
       1.8696       0.382          E    
       22.333       0.263          I    
       1.3211       0.606          G    
      0.92632       0.778          M    
        3.087       0.764          Q    
         2.04       0.323          U    
       3.0154       1.169          C    
        2.209       0.865          E    
       2.7143        1.16          I    
       3.5373        1.22          Q    
       2.2182       0.746          S    
       2.1892       0.234          C    
       1.4259       0.616          K    
       1.9655       0.618          M    
          2.2       0.378          O    
        2.875       0.487          U    
       1.2917       0.238          C    
       5.1818       0.524          G    
       4.1613       0.317          S    
       3.7727       0.549          Q    
       2.8636       0.364          U    
       4.1429       0.505          Y    
       2.8333        0.42          U    
       2.0323        0.31          O    
       2.9333       0.376          S    
       2.9286       0.347          S    
       1.8095       0.459          U    
       3.3542       1.035          Y    
       3.4643       0.488          G    
       7.3125       0.356          I    
       2.0833       0.565          K    
       1.1475       0.548          M    
       3.1111       0.262          O    
        2.931       0.309          U    
       2.2333        0.36          S    
       2.7778       0.489          G    
         1.56        0.65          M    
       2.3143       0.324          S    
       2.1224       0.477          U    
       3.2632         0.6          G    
       1.8043       0.556          Q    
       1.5161       0.465          U    
            1       0.488          W    
       1.8649       0.486          G    
       1.7576       0.351          S    
       3.7727       0.447          Y    
        2.186       0.423          Y    
       1.6562        1.02          A    
       3.3182       0.727          K    
       1.7255       0.627          M    
       2.0577       0.581          W    
       1.6441       0.551          M    
       14.167       0.161          I    
         1.96       0.475          K    
       4.8621       0.407          Q    
       2.0833       0.369          O    
       3.1905        0.39          S    
          2.5       0.487          U    
       2.0857       0.468          W    
        2.025       0.304          C    
       1.6591       0.369          E    
       3.4103       0.549          Q    
         1.14       0.485          W    
       2.9024       0.568          A    
       1.8857       0.379          U    
            3       0.375          Y    
       1.7857       0.368          A    
       3.0667       0.366          C    
        1.907       0.361          E    
