    Time       X        Y        P  
    55153    0.798    0.247    0.688
    55171    0.799    0.247    0.267
    55183    0.801    0.246    0.001
    55184      NaN      NaN      NaN
    28223    0.746    0.336    0.011
    28228    0.746    0.336    0.063
    28228    0.746    0.336    0.063
    28241    0.747     0.34    0.216
    28258    0.748    0.344    0.308
    28278     0.75    0.344    0.376
    28291    0.751     0.34    0.409
    28311    0.753    0.329    0.433
    28326    0.753    0.319    0.452
    28346    0.753    0.306    0.462
    28358    0.753    0.299     0.47
    28376    0.752    0.293    0.481
    28392    0.752    0.291    0.524
    28410    0.752    0.294    0.554
    28426    0.752    0.301     0.56
    28442    0.753    0.311    0.565
    28458    0.756    0.321    0.589
    28478    0.759    0.327    0.647
    28491    0.761    0.328    0.687
    28510    0.763    0.324    0.747
    28526    0.764    0.316    0.806
    28542    0.764    0.305    0.839
    28559    0.763    0.294    0.849
    28575    0.763    0.287    0.853
    28591    0.762    0.284    0.868
    28608    0.762    0.285    0.876
    28625    0.763    0.292    0.886
    28641    0.765    0.305    0.888
    28662    0.768    0.319     0.89
    28678    0.773    0.328    0.894
    28694    0.776    0.332    0.919
    28708    0.778    0.331    0.948
    28726    0.779    0.324    0.974
    28746    0.779    0.311    0.989
    28758    0.779      0.3    0.985
    28775    0.779    0.291    0.866
    28792    0.781    0.285    0.356
    28806    0.782    0.282    0.038
    28807      NaN      NaN      NaN
    17596    0.743    0.286    0.028
    17599    0.744    0.288    0.179
    17600    0.744    0.288    0.179
    17602    0.745    0.289    0.245
    17614    0.745    0.292    0.337
    17658     0.75    0.293    0.603
    17679    0.751    0.281    0.731
    17697    0.751    0.269     0.78
    17711    0.751     0.26    0.792
    17728     0.75    0.249    0.802
    17745     0.75    0.245    0.806
    17761     0.75    0.244    0.812
    17781    0.751    0.248    0.819
    17797    0.752    0.258    0.819
    17812    0.755    0.268    0.819
    17829    0.759    0.279    0.825
    17845    0.763    0.282    0.825
    17861    0.764    0.281    0.827
    17878    0.765    0.275    0.854
    17895    0.765    0.267    0.872
    17911    0.764    0.256    0.878
    17929    0.763    0.249    0.882
    17946    0.763    0.246     0.89
    17962    0.763    0.247    0.899
    17978    0.763    0.252    0.897
    17995    0.765    0.262    0.894
    18013    0.769    0.276    0.884
    18031    0.774    0.287    0.882
    18044    0.777    0.289     0.88
    18061    0.779    0.287    0.878
    18079    0.781     0.28    0.886
    18095    0.781    0.268    0.892
    18111    0.781     0.26    0.897
    18128    0.782    0.247    0.866
    18145    0.783    0.238    0.581
    18163    0.783    0.232     0.04
    18167      NaN      NaN      NaN
    24857    0.765    0.312    0.007
    24859    0.765    0.312    0.075
    24859    0.765    0.312    0.075
    24870    0.766    0.312    0.233
    24887    0.768    0.312    0.474
    24902    0.769    0.312    0.544
    24918    0.769    0.308    0.603
    24938    0.769    0.301    0.622
    24954    0.769    0.287    0.601
    24970    0.769    0.274    0.466
    24985     0.77    0.261    0.333
    25002    0.772    0.252    0.261
    25020    0.773    0.251    0.241
    25039    0.776    0.255    0.269
    25053    0.779    0.265    0.312
    25070    0.783    0.276     0.37
    25086    0.786    0.285     0.46
    25102    0.788    0.289    0.515
    25119    0.791    0.289    0.552
    25140    0.793    0.281    0.571
    25151    0.794    0.273    0.581
    25168    0.796     0.26    0.585
    25185    0.797    0.252    0.585
    25206    0.797    0.248     0.55
    25218    0.798    0.249    0.497
    25236      0.8    0.255    0.468
    25252    0.803    0.266    0.466
    25270    0.806    0.278    0.472
    25288    0.811    0.288    0.552
    25302    0.813    0.292     0.64
    25319    0.816    0.291    0.718
    25336    0.818    0.284    0.737
    25354    0.819    0.271    0.661
    25368    0.819     0.26    0.419
    25385    0.819    0.253    0.042
    25388      NaN      NaN      NaN
    23260    0.752    0.279     0.03
    23261    0.752     0.28    0.118
    23261    0.752     0.28    0.118
    23282    0.752     0.28    0.396
    23298    0.754    0.278    0.562
    23316    0.755    0.271    0.604
    23334    0.756    0.259    0.608
    23348    0.757    0.249    0.601
    23365    0.759    0.235    0.554
    23382     0.76    0.227    0.515
    23399    0.761    0.222    0.489
    23416    0.763    0.224    0.478
    23436    0.765    0.232    0.478
    23448    0.767    0.239    0.481
    23465    0.771    0.251    0.489
    23482    0.775     0.26    0.515
    23499    0.778    0.262    0.548
    23517    0.781    0.259    0.585
    23533    0.783    0.252    0.603
    23549    0.785    0.242    0.606
    23566    0.786    0.232     0.61
    23586    0.787    0.226    0.595
    23599    0.788    0.226    0.563
    23615    0.789    0.229    0.521
    23632    0.792    0.238    0.511
    23650    0.794    0.248    0.509
    23667    0.797    0.258    0.544
    23686    0.801    0.261    0.612
    23699    0.803    0.261    0.704
    23715    0.805    0.258    0.784
    23732    0.807    0.248    0.821
    23750    0.808    0.235    0.759
    23766    0.808    0.227    0.528
    23782    0.808    0.221    0.122
    23789      NaN      NaN      NaN
